Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 3 [30720/49000 (62%)]	Train Loss: 1.150108	Val Loss: 1.574266	Val Acc: 48
Train Epoch: 3 [35840/49000 (73%)]	Train Loss: 1.264504	Val Loss: 1.582384	Val Acc: 50
Train Epoch: 3 [40960/49000 (83%)]	Train Loss: 1.440271	Val Loss: 1.531800	Val Acc: 51
Train Epoch: 3 [46080/49000 (94%)]	Train Loss: 1.133062	Val Loss: 1.526068	Val Acc: 51
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 1.069172	Val Loss: 1.506279	Val Acc: 49
Train Epoch: 4 [5120/49000 (10%)]	Train Loss: 1.138157	Val Loss: 1.553934	Val Acc: 51
Train Epoch: 4 [10240/49000 (21%)]	Train Loss: 1.206304	Val Loss: 1.517217	Val Acc: 51
Train Epoch: 4 [15360/49000 (31%)]	Train Loss: 1.027809	Val Loss: 1.517468	Val Acc: 53
Train Epoch: 4 [20480/49000 (42%)]	Train Loss: 1.149026	Val Loss: 1.613839	Val Acc: 50
Train Epoch: 4 [25600/49000 (52%)]	Train Loss: 1.247600	Val Loss: 1.548430	Val Acc: 51
Train Epoch: 4 [30720/49000 (62%)]	Train Loss: 1.141998	Val Loss: 1.514597	Val Acc: 49
Train Epoch: 4 [35840/49000 (73%)]	Train Loss: 1.124494	Val Loss: 1.544807	Val Acc: 49
Train Epoch: 4 [40960/49000 (83%)]	Train Loss: 1.194070	Val Loss: 1.571649	Val Acc: 49
Train Epoch: 4 [46080/49000 (94%)]	Train Loss: 1.177758	Val Loss: 1.621237	Val Acc: 48
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 1.037025	Val Loss: 1.554350	Val Acc: 50
Train Epoch: 4 [5120/49000 (10%)]	Train Loss: 0.928577	Val Loss: 1.558641	Val Acc: 50
Train Epoch: 4 [10240/49000 (21%)]	Train Loss: 1.138446	Val Loss: 1.553963	Val Acc: 50
Train Epoch: 4 [15360/49000 (31%)]	Train Loss: 1.091147	Val Loss: 1.519216	Val Acc: 49
Train Epoch: 4 [20480/49000 (42%)]	Train Loss: 1.122813	Val Loss: 1.438220	Val Acc: 52
Train Epoch: 4 [25600/49000 (52%)]	Train Loss: 1.141783	Val Loss: 1.510160	Val Acc: 51
Train Epoch: 4 [30720/49000 (62%)]	Train Loss: 1.198627	Val Loss: 1.633569	Val Acc: 51
Train Epoch: 4 [35840/49000 (73%)]	Train Loss: 1.288966	Val Loss: 1.584639	Val Acc: 51
Train Epoch: 4 [40960/49000 (83%)]	Train Loss: 1.099264	Val Loss: 1.625279	Val Acc: 50
Train Epoch: 4 [46080/49000 (94%)]	Train Loss: 1.129467	Val Loss: 1.583895	Val Acc: 49
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 0.950133	Val Loss: 1.625670	Val Acc: 49
Train Epoch: 4 [5120/49000 (10%)]	Train Loss: 1.056191	Val Loss: 1.608449	Val Acc: 51
Train Epoch: 4 [10240/49000 (21%)]	Train Loss: 1.001754	Val Loss: 1.612030	Val Acc: 49
Train Epoch: 4 [15360/49000 (31%)]	Train Loss: 0.977503	Val Loss: 1.573100	Val Acc: 50
Train Epoch: 4 [20480/49000 (42%)]	Train Loss: 1.080479	Val Loss: 1.559990	Val Acc: 48
Train Epoch: 4 [25600/49000 (52%)]	Train Loss: 0.997017	Val Loss: 1.494324	Val Acc: 51
Train Epoch: 4 [30720/49000 (62%)]	Train Loss: 1.036559	Val Loss: 1.530144	Val Acc: 51
Train Epoch: 4 [35840/49000 (73%)]	Train Loss: 1.080268	Val Loss: 1.551793	Val Acc: 51
Train Epoch: 4 [40960/49000 (83%)]	Train Loss: 1.109609	Val Loss: 1.654757	Val Acc: 48
Train Epoch: 4 [46080/49000 (94%)]	Train Loss: 1.197120	Val Loss: 1.654362	Val Acc: 50
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 0.992107	Val Loss: 1.709819	Val Acc: 50
Train Epoch: 4 [5120/49000 (10%)]	Train Loss: 1.027948	Val Loss: 1.682231	Val Acc: 48
Train Epoch: 4 [10240/49000 (21%)]	Train Loss: 1.113965	Val Loss: 1.594499	Val Acc: 49
Train Epoch: 4 [15360/49000 (31%)]	Train Loss: 0.994539	Val Loss: 1.644563	Val Acc: 49
Train Epoch: 4 [20480/49000 (42%)]	Train Loss: 1.056574	Val Loss: 1.648286	Val Acc: 48
Train Epoch: 4 [25600/49000 (52%)]	Train Loss: 1.036355	Val Loss: 1.597376	Val Acc: 50
Train Epoch: 4 [30720/49000 (62%)]	Train Loss: 1.168818	Val Loss: 1.588514	Val Acc: 51
Train Epoch: 4 [35840/49000 (73%)]	Train Loss: 0.963885	Val Loss: 1.748164	Val Acc: 48
Train Epoch: 4 [40960/49000 (83%)]	Train Loss: 1.067035	Val Loss: 1.604348	Val Acc: 51
Train Epoch: 4 [46080/49000 (94%)]	Train Loss: 1.039672	Val Loss: 1.676930	Val Acc: 51

test set: Average loss: 1.6826, Accuracy: 4866/10000 (48%)

